Author-year,AgS,ReT,SA (m2/g),Metal,AIC (mg/L),Temp,pH,rpm,Adc,Qm (µg/g),Aged condition,Solution- added agent,Note,Unnamed: 14
"(Li et al., 2019)",Virgin,PA,,Cd (II),8.5,25.0,7.0,30.0,Single-ion,339.6,,,,
"(Li et al., 2019)",Virgin,PP,0.99,Cd (II),8.5,25.0,7.0,30.0,Single-ion,199.2,,,,
"(Li et al., 2019)",Virgin,PE,0.53,Cd (II),8.5,25.0,7.0,30.0,Single-ion,234.5,,,,
"(Li et al., 2019)",Aged,Mix,5.12,Cd (II),51.0,25.0,7.0,30.0,Single-ion,2523.0,Nature: Sludge,,,
"(Wang et al., 2019)",Virgin,HDPE,,Cd (II),,25.0,7.0,270.0,Single-ion,30.5,,,,
"(Yang et al., 2019)",Virgin,PA,8.71,Cu (II),5.025,25.0,6.0,200.0,Single-ion,432.0,,,,
"(Yang et al., 2019)",Aged,PA,,Cu (II),5.025,25.0,6.0,200.0,Single-ion,265.0,Lab: UV,,,
"(Yang et al., 2019)",Virgin,PS,0.001,Cu (II),5.025,25.0,6.0,200.0,Single-ion,8.28,,,,
"(Yang et al., 2019)",Virgin,PET,0.475,Cu (II),5.025,25.0,6.0,200.0,Single-ion,8.720000000000002,,,,
"(Yang et al., 2019)",Virgin,PVC,0.556,Cu (II),5.025,25.0,6.0,200.0,Single-ion,6.289999999999999,,,,
"(Yang et al., 2019)",Virgin,PMMA,0.11,Cu (II),5.025,25.0,6.0,200.0,Single-ion,41.0,,,,
"(Yang et al., 2019)",Aged,PMMA,,Cu (II),5.025,25.0,6.0,200.0,Single-ion,79.4,Lab: UV,,,
"(Dong et al., 2020)",Virgin,PS,8.28,As (III),30.0,25.0,7.0,200.0,Single-ion,2840.0,,,,
"(Dong et al., 2020)",Virgin,PS,7.92,As (III),30.0,25.0,7.0,200.0,Mixed,11830.0,,HA,HA 20 mg/L,
"(Dong et al., 2020)",Virgin,PS,7.41,As (III),30.0,25.0,7.0,200.0,Mixed,11350.0,,HA,HA 40 mg/L,
"(Dong et al., 2020)",Virgin,PS,6.58,As (III),30.0,25.0,7.0,200.0,Mixed,9420.0,,HA,HA 60 mg/L,
"(Dong et al., 2020)",Virgin,PS,8.11,As (III),30.0,25.0,7.0,200.0,Mixed,11030.0,,FA,FA 20 mg/L,
"(Dong et al., 2020)",Virgin,PS,7.58,As (III),30.0,25.0,7.0,200.0,Mixed,10380.0,,FA,FA 40 mg/L,
"(Dong et al., 2020)",Virgin,PS,6.82,As (III),30.0,25.0,7.0,200.0,Mixed,8410.0,,FA,FA 60 mg/L,
"(Guo et al., 2020)",Virgin,PE,0.173,Cd (II),,25.0,7.0,150.0,Single-ion,36.63,,,,
"(Guo et al., 2020)",Virgin,PP,0.348,Cd (II),,25.0,7.0,150.0,Single-ion,36.1,,,,
"(Guo et al., 2020)",Virgin,PS,0.508,Cd (II),,25.0,7.0,150.0,Single-ion,40.49,,,,
"(Guo et al., 2020)",Virgin,PVC,0.836,Cd (II),,25.0,7.0,150.0,Single-ion,53.48,,,,
"(Mao et al., 2020)",Virgin,PS,,Pb (II),1.05,25.0,7.0,150.0,Single-ion,160.0,,,,
"(Mao et al., 2020)",Aged,PS,,Pb (II),1.05,25.0,7.0,150.0,Single-ion,183.0,Lab: 1 month UV,,,
"(Mao et al., 2020)",Aged,PS,,Pb (II),1.05,25.0,7.0,150.0,Single-ion,203.0,Lab: 2 month UV,,,
"(Mao et al., 2020)",Aged,PS,,Pb (II),1.05,25.0,7.0,150.0,Single-ion,202.0,Lab: 3 month UV,,,
"(Mao et al., 2020)",Virgin,PS,,Cu (II),1.05,25.0,7.0,150.0,Single-ion,210.0,,,,
"(Mao et al., 2020)",Aged,PS,,Cu (II),1.05,25.0,7.0,150.0,Single-ion,171.0,Lab: 1 month UV,,,
"(Mao et al., 2020)",Aged,PS,,Cu (II),1.05,25.0,7.0,150.0,Single-ion,162.0,Lab: 2 month UV,,,
"(Mao et al., 2020)",Aged,PS,,Cu (II),1.05,25.0,7.0,150.0,Single-ion,173.0,Lab: 3 month UV,,,
"(Mao et al., 2020)",Virgin,PS,,Cd (II),1.05,25.0,7.0,150.0,Single-ion,105.0,,,,
"(Mao et al., 2020)",Aged,PS,,Cd (II),1.05,25.0,7.0,150.0,Single-ion,133.0,Lab: 1 month UV,,,
"(Mao et al., 2020)",Aged,PS,,Cd (II),1.05,25.0,7.0,150.0,Single-ion,157.0,Lab: 2 month UV,,,
"(Mao et al., 2020)",Aged,PS,,Cd (II),1.05,25.0,7.0,150.0,Single-ion,175.0,Lab: 3 month UV,,,
"(Mao et al., 2020)",Virgin,PS,,Ni (II),1.05,25.0,7.0,150.0,Single-ion,125.0,,,,
"(Mao et al., 2020)",Aged,PS,,Ni (II),1.05,25.0,7.0,150.0,Single-ion,140.0,Lab: 1 month UV,,,
"(Mao et al., 2020)",Aged,PS,,Ni (II),1.05,25.0,7.0,150.0,Single-ion,143.0,Lab: 2 month UV,,,
"(Mao et al., 2020)",Aged,PS,,Ni (II),1.05,25.0,7.0,150.0,Single-ion,196.0,Lab: 3 month UV,,,
"(Mao et al., 2020)",Virgin,PS,,Zn (II),1.05,25.0,7.0,150.0,Single-ion,78.1,,,,
"(Mao et al., 2020)",Aged,PS,,Zn (II),1.05,25.0,7.0,150.0,Single-ion,128.0,Lab: 1 month UV,,,
"(Mao et al., 2020)",Aged,PS,,Zn (II),1.05,25.0,7.0,150.0,Single-ion,158.0,Lab: 2 month UV,,,
"(Mao et al., 2020)",Aged,PS,,Zn (II),1.05,25.0,7.0,150.0,Single-ion,183.0,Lab: 3 month UV,,,
"(Mao et al., 2020)",Aged,PS,,Pb (II),1.05,25.0,7.0,150.0,Single-ion,199.0,Lab: 3 month-pure water,,,
"(Mao et al., 2020)",Aged,PS,,Pb (II),1.05,25.0,7.0,150.0,Single-ion,199.0,Lab: 3 month-sea water,,,
"(Mao et al., 2020)",Aged,PS,,Pb (II),1.05,25.0,7.0,150.0,Single-ion,202.0,Lab: 3 month-air,,,
"(Mao et al., 2020)",Aged,PS,,Cu (II),1.05,25.0,7.0,150.0,Single-ion,176.0,Lab: 3 month-pure water,,,
"(Mao et al., 2020)",Aged,PS,,Cu (II),1.05,25.0,7.0,150.0,Single-ion,170.0,Lab: 3 month-sea water,,,
"(Mao et al., 2020)",Aged,PS,,Cu (II),1.05,25.0,7.0,150.0,Single-ion,173.0,Lab: 3 month-air,,,
"(Mao et al., 2020)",Aged,PS,,Cd (II),1.05,25.0,7.0,150.0,Single-ion,168.0,Lab: 3 month-pure water,,,
"(Mao et al., 2020)",Aged,PS,,Cd (II),1.05,25.0,7.0,150.0,Single-ion,161.0,Lab: 3 month-sea water,,,
"(Mao et al., 2020)",Aged,PS,,Cd (II),1.05,25.0,7.0,150.0,Single-ion,175.0,Lab: 3 month-air,,,
"(Mao et al., 2020)",Aged,PS,,Ni (II),1.05,25.0,7.0,150.0,Single-ion,259.0,Lab: 3 month-pure water,,,
"(Mao et al., 2020)",Aged,PS,,Ni (II),1.05,25.0,7.0,150.0,Single-ion,211.0,Lab: 3 month-sea water,,,
"(Mao et al., 2020)",Aged,PS,,Ni (II),1.05,25.0,7.0,150.0,Single-ion,196.0,Lab: 3 month-air,,,
"(Mao et al., 2020)",Aged,PS,,Zn (II),1.05,25.0,7.0,150.0,Single-ion,312.0,Lab: 3 month-pure water,,,
"(Mao et al., 2020)",Aged,PS,,Zn (II),1.05,25.0,7.0,150.0,Single-ion,236.0,Lab: 3 month-sea water,,,
"(Mao et al., 2020)",Aged,PS,,Zn (II),1.05,25.0,7.0,150.0,Single-ion,183.0,Lab: 3 month-air,,,
(Tang_Lin 2020),Aged,nylon,0.045,Pb (II),7.0,15.0,5.0,185.0,Single-ion,463.7,Nature: coastal aquaculture,,,
(Tang_Lin 2020),Aged,nylon,0.045,Pb (II),7.0,27.0,5.0,185.0,Single-ion,1031.5,Nature: coastal aquaculture,,,
"(Wang et al., 2020)",Aged,PET,,Cu (II),6.0,15.0,7.0,150.0,Single-ion,335.48,Lab: UV,,The adsorption behavior of metals,
"(Wang et al., 2020)",Aged,PET,,Zn (II),6.0,25.0,7.0,150.0,Single-ion,211.03,Lab: UV,,,
"(Wang et al., 2020)",Aged,PET,,Zn (II),6.0,35.0,7.0,150.0,Single-ion,318.42,Lab: UV,,,
(Wang_wang  2020),Virgins,PE,0.2354,Cu (II),2.5,25.0,7.0,,Single-ion,237.5,,,,
(Wang_wang  2020),Virgins,PE,0.7762,Cu (II),2.5,25.0,7.0,,Mixed,762.2,"Lab: Wastewater, 20d",TC,PE+5 mg/L TC,
"(Gao et al., 2021)",Virgin,PS,,Cu (II),1.005,25.0,7.0,160.0,Single-ion,777.18,,,,
"(Gao et al., 2021)",Aged,PS,,Cu (II),1.005,25.0,7.0,160.0,Single-ion,1566.94,Lab: UV seawater,,,
"(Gao et al., 2021)",Virgin,PVC,,Cu (II),1.005,25.0,7.0,160.0,Single-ion,715.99,,,,
"(Gao et al., 2021)",Aged,PVC,,Cu (II),1.005,25.0,7.0,160.0,Single-ion,1282.35,Lab: UV seawater,,,
"(Gao et al., 2021)",Virgin,PS,,Cd (II),1.005,25.0,7.0,160.0,Single-ion,1369.33,,,,
