study_label_in_SI,ris_index,year,first_author,title,journal,doi,all_authors
"(Chen et al., 2025)",59,2025,"Chen, L.","Adsorption behavior of commercial biodegradable plastics towards pollutants during the biodegradation process: Taking starch-based biodegradable microplastics, oxytetracycline and Cu (II) as examples",Environmental Pollution,10.1016/j.envpol.2024.125538,"Chen, L.; Sun, Y.; Wang, X.; Xia, S.; Zhao, J."
"(Dai et al., 2025)",57,2025,"Dai, H.",Biofilm colonization on non-degradable and degradable microplastics change the adsorption of Cu(II) and facilitate the dominance of pathogenic microbes,Environmental Research,10.1016/j.envres.2025.121169,"Dai, H.; Zhong, Y.; Xiang, S.; Dong, S.; Chen, S."
"(Dong et al., 2020)",56,2020,"Dong, Y.",Adsorption of arsenite to polystyrene microplastics in the presence of humus,Environmental Science: Processes and Impacts,10.1039/d0em00324g,"Dong, Y.; Gao, M.; Qiu, W.; Song, Z."
"(Gao et al., 2021)",54,2021,"Gao, L.",Microplastics aged in various environmental media exhibited strong sorption to heavy metals in seawater,Marine Pollution Bulletin,10.1016/j.marpolbul.2021.112480,"Gao, L.; Fu, D.; Zhao, J.; Wu, W.; Wang, Z.; Su, Y.; Peng, L."
"(Gao et al., 2023)",53,2023,"Gao, Z.","Adsorption/desorption of mercury (II) by artificially weathered microplastics: Kinetics, isotherms, and influencing factors",Environmental Pollution,10.1016/j.envpol.2023.122621,"Gao, Z.; Cizdziel, J. V.; Wontor, K.; Olubusoye, B. S."
"(Guo et al., 2020)",52,2020,"Guo, X.",Sorption properties of cadmium on microplastics: The common practice experiment and A two-dimensional correlation spectroscopic study,Ecotoxicology and Environmental Safety,10.1016/j.ecoenv.2019.110118,"Guo, X.; Hu, G.; Fan, X.; Jia, H."
"(He et al., 2022)",49,2022,"He, W.",Adsorption behavior of aged polystyrene microplastics (PSMPs) for manganese in water: Critical role of hydrated functional zone surrounding the microplastic surface,Journal of Environmental Chemical Engineering,10.1016/j.jece.2022.109040,"He, W.; Wang, X.; Zhang, Y.; Zhu, B.; Wu, H."
"(Hu et al., 2024)",48,2024,"Hu, C.",Adsorption properties and mechanism of Cu(II) on virgin and aged microplastics in the aquatic environment,Environmental Science and Pollution Research,10.1007/s11356-024-33131-1,"Hu, C.; Xiao, Y.; Jiang, Q.; Wang, M.; Xue, T."
"(Hu et al., 2024b)",47,2024,"Hu, C.",Adsorption and Desorption Behavior of Cr(VI) on Two Typical UV-Aged Microplastics in Aqueous Solution,Langmuir,10.1021/acs.langmuir.4c03841,"Hu, C.; Xiao, Y.; Jiang, Q.; Wang, M.; Xue, T.; Tao, R.; Mei, Y."
"(Huang et al., 2023)",46,2023,"Huang, W.","Comparison of lead adsorption on the aged conventional microplastics, biodegradable microplastics and environmentally-relevant tire wear particles",Chemical Engineering Journal,10.1016/j.cej.2023.141838,"Huang, W.; Deng, J.; Liang, J.; Xia, X."
"(Huang et al., 2024)",45,2024,"Huang, W.",Insights into adsorption behavior and mechanism of Cu(II) onto biodegradable and conventional microplastics: Effect of aging process and environmental factors,Environmental Pollution,10.1016/j.envpol.2023.123061,"Huang, W.; Zhang, J.; Zhang, Z.; Gao, H.; Xu, W.; Xia, X."
"(Jiang et al., 2022)",43,2022,"Jiang, Y.",Surfactant-induced adsorption of Pb(II) on the cracked structure of microplastics,Journal of Colloid and Interface Science,10.1016/j.jcis.2022.04.068,"Jiang, Y.; Qin, Z.; Fei, J.; Ding, D.; Sun, H.; Wang, J.; Yin, X."
"(Jiang et al., 2025)",44,2025,"Jiang, H.",Competitive Adsorption Studies of Cd(II) and As(III) by Poly (Butylene Succinate) Microplastics: Based on Experimental and Theoretical Calculation,Water (Switzerland),10.3390/w17010074,"Jiang, H.; Ding, Z.; Lei, X.; Li, X.; Que, S.; Zhou, J.; Tang, J.; Huang, Y.; Sun, D."
"(Li et al., 2019)",37,2019,"Li, X.",Enhancement in adsorption potential of microplastics in sewage sludge for metal pollutants after the wastewater treatment process,Water Research,10.1016/j.watres.2019.03.069,"Li, X.; Mei, Q.; Chen, L.; Zhang, H.; Dong, B.; Dai, X.; He, C.; Zhou, J."
"(Li et al., 2021)",38,2021,"Li, X.",Aging microplastics in wastewater pipeline networks and treatment processes: Physicochemical characteristics and Cd adsorption,Science of the Total Environment,10.1016/j.scitotenv.2021.148940,"Li, X.; Li, M.; Mei, Q.; Niu, S.; Wang, X.; Xu, H.; Dong, B.; Dai, X.; Zhou, J. L."
"(Li et al., 2024)",40,2024,"Li, L.",The adsorption and release mechanism of different aged microplastics toward Hg(II) via batch experiment and the deep learning method,Chemosphere,10.1016/j.chemosphere.2023.141067,"Li, L.; Xue, B.; Lin, H.; Lan, W.; Wang, X.; Wei, J.; Li, M.; Li, M.; Duan, Y.; Lv, J.; Chen, Z."
(Li_Wang 2022),36,2022,"Li, Y.",Effect of biofilm colonization on Pb(II) adsorption onto poly(butylene succinate) microplastic during its biodegradation,Science of the Total Environment,10.1016/j.scitotenv.2022.155251,"Li, Y.; Wang, X.; Wang, Y.; Sun, Y.; Xia, S.; Zhao, J."
(Li_Zhang 2022),35,2022,"Li, Y.",Adsorption behaviour of microplastics on the heavy metal Cr(VI) before and after ageing,Chemosphere,10.1016/j.chemosphere.2022.134865,"Li, Y.; Zhang, Y.; Su, F.; Wang, Y.; Peng, L.; Liu, D."
(Li_li 2022),41,2022,"Li, J.",Comparing the influence of humic/fulvic acid and tannic acid on Cr(VI) adsorption onto polystyrene microplastics: Evidence for the formation of Cr(OH)3 colloids,Chemosphere,10.1016/j.chemosphere.2022.135697,"Li, J.; Li, X.; Ma, S.; Zhao, W.; Xie, W.; Ma, J.; Yao, Y.; Wei, W."
(Li_zu 2022),39,2022,"Li, W.",Adsorption of lead and cadmium by microplastics and their desorption behavior as vectors in the gastrointestinal environment,Journal of Environmental Chemical Engineering,10.1016/j.jece.2022.107379,"Li, W.; Zu, B.; Yang, Q.; Huang, Y.; Li, J."
"(Lin et al., 2021)",33,2021,"Lin, Z.",Comparative analysis of kinetics and mechanisms for Pb(II) sorption onto three kinds of microplastics,Ecotoxicology and Environmental Safety,10.1016/j.ecoenv.2020.111451,"Lin, Z.; Hu, Y.; Yuan, Y.; Hu, B.; Wang, B."
"(Lin et al., 2022)",34,2022,"Lin, L.",Enhanced heavy metal adsorption on microplastics by incorporating flame retardant hexabromocyclododecanes: Mechanisms and potential migration risks,Water Research,10.1016/j.watres.2022.119144,"Lin, L.; Li, H.; Hong, H.; Yuan, B.; Sun, X.; He, L.; Xue, C.; Lu, H.; Liu, J.; Yan, C."
(Liu_Huang 2022),32,2022,"Liu, S.",Investigation of the adsorption behavior of Pb(II) onto natural-aged microplastics as affected by salt ions,Journal of Hazardous Materials,10.1016/j.jhazmat.2022.128643,"Liu, S.; Huang, J.; Zhang, W.; Shi, L.; Yi, K.; Zhang, C.; Pang, H.; Li, J.; Li, S."
(Liu_Zhang 2022),31,2022,"Liu, Y.",The influence of Pb(II) adsorption on (Non) biodegradable microplastics by UV/O3oxidation treatment,Journal of Environmental Chemical Engineering,10.1016/j.jece.2022.108615,"Liu, Y.; Zhang, J.; Cao, W.; Hu, Y.; Shen, W."
"(Mao et al., 2020)",30,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,10.1016/j.jhazmat.2020.122515,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X."
"(Muthuraja et al., 2024)",29,2024,"Muthuraja, R.",Effects of particle size and aging on heavy metal adsorption by polypropylene and polystyrene microplastics under varying environmental conditions,Chemosphere,10.1016/j.chemosphere.2024.143843,"Muthuraja, R.; Ou, B.; Thangavelu, M.; Narhayanan, T. N.; Chittamart, N.; Janjaroen, D."
"(Nguyen et al., 2022)",28,2022,"Nguyen, T. B.",Adsorption of lead(II) onto PE microplastics as a function of particle size: Influencing factors and adsorption mechanism,Chemosphere,10.1016/j.chemosphere.2022.135276,"Nguyen, T. B.; Ho, T. B. C.; Huang, C. P.; Chen, C. W.; Chen, W. H.; Hsieh, S.; Hsieh, S. L.; Dong, C. D."
"(Qi et al., 2021)",27,2021,"Qi, K.",Uptake of Pb(II) onto microplastic-associated biofilms in freshwater: Adsorption and combined toxicity in comparison to natural solid substrates,Journal of Hazardous Materials,10.1016/j.jhazmat.2021.125115,"Qi, K.; Lu, N.; Zhang, S.; Wang, W.; Wang, Z.; Guan, J."
"(Qiongjie et al., 2022)",26,2022,"Qiongjie, W.",Effects of biofilm on metal adsorption behavior and microbial community of microplastics,Journal of Hazardous Materials,10.1016/j.jhazmat.2021.127340,"Qiongjie, W.; Yong, Z.; Yangyang, Z.; Zhouqi, L.; Jinxiaoxue, W.; Huijuan, C."
"(Qiu et al., 2022)",25,2022,"Qiu, Y.",Sulfide modifies physicochemical properties and mercury adsorption of microplastics,Science of the Total Environment,10.1016/j.scitotenv.2022.157802,"Qiu, Y.; Zhang, Z.; Zhang, T.; Zhang, P."
"(Saravanakumar et al., 2024)",24,2024,"Saravanakumar, K.",Insights Into the Adsorption Behavior of Polyethylene Microplastics Towards Lead(II) Ions,Environmental Quality Management,10.1002/tqem.22355,"Saravanakumar, K.; Sathyamoorthy, M.; Prasad, D. M. R.; Prasad, B. S. N.; Senthilkumar, R.; Lakshmanarao, G."
