metal,scenario,release_assumption,release_fraction,qm_mean_mg_g,emvp_mean_ug_L,emvp_ci_95_lower,emvp_ci_95_upper,background_ug_L,ratio_mean,ratio_ci95_lower,ratio_ci95_upper,base_interpretation,interpretation_note
As,pristine,low_release_1pct,0.01,8.48325,8.543035801889e-06,2.4997198732940004e-06,2.2008602685995003e-05,5.0,1.708607160377e-06,4.999439746588548e-07,4.401720537199e-06,likely_minor,Scenario-based screening assumption: 1% release of sorbed metal.
As,pristine,medium_release_10pct,0.1,8.48325,8.543035801889e-05,2.4997198732940004e-05,0.00022008602685995,5.0,1.708607160377e-05,4.999439746588547e-06,4.4017205371990006e-05,likely_minor,Scenario-based screening assumption: 10% release of sorbed metal.
As,pristine,high_release_25pct,0.25,8.48325,0.000213575895047225,6.249299683235e-05,0.000550215067149875,5.0,4.2715179009425e-05,1.2498599366471368e-05,0.000110043013429975,likely_minor,Scenario-based screening assumption: 25% release of sorbed metal.
As,pristine,upper_bound_full_release,1.0,8.48325,0.0008543035801889,0.0002499719873294,0.0022008602685995,5.0,0.0001708607160377,4.999439746588547e-05,0.0004401720537199,likely_minor,Upper-bound screening assumption: 100% release of sorbed metal.
As,low,low_release_1pct,0.01,8.48325,8.5098622766996e-05,2.4519006925521002e-05,0.000216551918033056,5.0,1.7019724553399e-05,4.903801385104e-06,4.3310383606611e-05,likely_minor,Scenario-based screening assumption: 1% release of sorbed metal.
As,low,medium_release_10pct,0.1,8.48325,0.0008509862276699601,0.00024519006925521,0.0021655191803305602,5.0,0.00017019724553399003,4.903801385104e-05,0.00043310383606611,likely_minor,Scenario-based screening assumption: 10% release of sorbed metal.
As,low,high_release_25pct,0.25,8.48325,0.0021274655691749,0.000612975173138025,0.0054137979508264,5.0,0.000425493113834975,0.0001225950346276,0.001082759590165275,likely_minor,Scenario-based screening assumption: 25% release of sorbed metal.
As,low,upper_bound_full_release,1.0,8.48325,0.0085098622766996,0.0024519006925521,0.0216551918033056,5.0,0.0017019724553399,0.0004903801385104,0.0043310383606611,likely_minor,Upper-bound screening assumption: 100% release of sorbed metal.
As,moderate,low_release_1pct,0.01,8.48325,0.000841179463803145,0.000244170102123565,0.002140481155572628,5.0,0.00016823589276062902,4.8834020424713e-05,0.00042809623111452497,likely_minor,Scenario-based screening assumption: 1% release of sorbed metal.
As,moderate,medium_release_10pct,0.1,8.48325,0.00841179463803145,0.00244170102123565,0.02140481155572628,5.0,0.0016823589276062903,0.00048834020424713,0.00428096231114525,likely_minor,Scenario-based screening assumption: 10% release of sorbed metal.
As,moderate,high_release_25pct,0.25,8.48325,0.021029486595078625,0.006104252553089125,0.0535120288893157,5.0,0.004205897319015725,0.001220850510617825,0.010702405777863125,likely_minor,Scenario-based screening assumption: 25% release of sorbed metal.
As,moderate,upper_bound_full_release,1.0,8.48325,0.0841179463803145,0.0244170102123565,0.2140481155572628,5.0,0.0168235892760629,0.0048834020424713,0.0428096231114525,likely_minor,Upper-bound screening assumption: 100% release of sorbed metal.
As,high,low_release_1pct,0.01,8.48325,0.008441598536418238,0.002450277150913027,0.021799102182974026,5.0,0.001688319707283647,0.000490055430182605,0.004359820436594804,potentially_relevant,Scenario-based screening assumption: 1% release of sorbed metal.
As,high,medium_release_10pct,0.1,8.48325,0.08441598536418238,0.024502771509130272,0.21799102182974026,5.0,0.016883197072836472,0.004900554301826051,0.043598204365948044,potentially_relevant,Scenario-based screening assumption: 10% release of sorbed metal.
As,high,high_release_25pct,0.25,8.48325,0.21103996341045594,0.061256928772825674,0.5449775545743506,5.0,0.042207992682091175,0.012251385754565126,0.1089955109148701,potentially_relevant,Scenario-based screening assumption: 25% release of sorbed metal.
As,high,upper_bound_full_release,1.0,8.48325,0.8441598536418238,0.2450277150913027,2.1799102182974024,5.0,0.1688319707283647,0.0490055430182605,0.4359820436594804,potentially_relevant,Upper-bound screening assumption: 100% release of sorbed metal.
As,extreme,low_release_1pct,0.01,8.48325,0.0840219150369689,0.023915059298909705,0.21620914881521747,5.0,0.016804383007393783,0.004783011859781941,0.04324182976304348,dominant,Scenario-based screening assumption: 1% release of sorbed metal.
As,extreme,medium_release_10pct,0.1,8.48325,0.8402191503696891,0.23915059298909705,2.1620914881521744,5.0,0.16804383007393783,0.04783011859781941,0.4324182976304348,dominant,Scenario-based screening assumption: 10% release of sorbed metal.
As,extreme,high_release_25pct,0.25,8.48325,2.1005478759242227,0.5978764824727426,5.405228720380436,5.0,0.42010957518484454,0.11957529649454852,1.081045744076087,dominant,Scenario-based screening assumption: 25% release of sorbed metal.
As,extreme,upper_bound_full_release,1.0,8.48325,8.40219150369689,2.3915059298909704,21.620914881521745,5.0,1.6804383007393782,0.4783011859781941,4.324182976304348,dominant,Upper-bound screening assumption: 100% release of sorbed metal.
Cd,pristine,low_release_1pct,0.01,1.0034117021276594,1.004590372898e-06,2.8976192795453384e-07,2.581306910606e-06,0.5,2.009180745797e-06,5.795238559090677e-07,5.162613821213e-06,likely_minor,Scenario-based screening assumption: 1% release of sorbed metal.
Cd,pristine,medium_release_10pct,0.1,1.0034117021276594,1.004590372898e-05,2.897619279545338e-06,2.581306910606e-05,0.5,2.0091807457970002e-05,5.795238559090676e-06,5.162613821213001e-05,likely_minor,Scenario-based screening assumption: 10% release of sorbed metal.
Cd,pristine,high_release_25pct,0.25,1.0034117021276594,2.511475932245e-05,7.244048198863345e-06,6.453267276515e-05,0.5,5.0229518644925e-05,1.448809639772669e-05,0.000129065345530325,likely_minor,Scenario-based screening assumption: 25% release of sorbed metal.
Cd,pristine,upper_bound_full_release,1.0,1.0034117021276594,0.0001004590372898,2.897619279545338e-05,0.0002581306910606,0.5,0.0002009180745797,5.795238559090676e-05,0.0005162613821213,likely_minor,Upper-bound screening assumption: 100% release of sorbed metal.
Cd,low,low_release_1pct,0.01,1.0034117021276594,1.0087944146213002e-05,2.832497257445e-06,2.586090946921e-05,0.5,2.0175888292427e-05,5.66499451489e-06,5.172181893842e-05,likely_minor,Scenario-based screening assumption: 1% release of sorbed metal.
Cd,low,medium_release_10pct,0.1,1.0034117021276594,0.00010087944146213002,2.832497257445e-05,0.0002586090946921,0.5,0.00020175888292427,5.66499451489e-05,0.0005172181893842,likely_minor,Scenario-based screening assumption: 10% release of sorbed metal.
Cd,low,high_release_25pct,0.25,1.0034117021276594,0.000252198603655325,7.0812431436125e-05,0.00064652273673025,0.5,0.000504397207310675,0.00014162486287225,0.0012930454734605,likely_minor,Scenario-based screening assumption: 25% release of sorbed metal.
Cd,low,upper_bound_full_release,1.0,1.0034117021276594,0.0010087944146213,0.0002832497257445,0.002586090946921,0.5,0.0020175888292427,0.000566499451489,0.005172181893842,likely_minor,Upper-bound screening assumption: 100% release of sorbed metal.
Cd,moderate,low_release_1pct,0.01,1.0034117021276594,0.000100268158202114,2.8997642930508003e-05,0.0002563719298792,0.5,0.000200536316404228,5.7995285861017e-05,0.000512743859758401,likely_minor,Scenario-based screening assumption: 1% release of sorbed metal.
Cd,moderate,medium_release_10pct,0.1,1.0034117021276594,0.0010026815820211401,0.00028997642930508004,0.002563719298792,0.5,0.0020053631640422802,0.0005799528586101701,0.005127438597584011,likely_minor,Scenario-based screening assumption: 10% release of sorbed metal.
Cd,moderate,high_release_25pct,0.25,1.0034117021276594,0.00250670395505285,0.0007249410732627,0.00640929824698,0.5,0.0050134079101057,0.001449882146525425,0.012818596493960025,likely_minor,Scenario-based screening assumption: 25% release of sorbed metal.
Cd,moderate,upper_bound_full_release,1.0,1.0034117021276594,0.0100268158202114,0.0028997642930508,0.02563719298792,0.5,0.0200536316404228,0.0057995285861017,0.0512743859758401,likely_minor,Upper-bound screening assumption: 100% release of sorbed metal.
Cd,high,low_release_1pct,0.01,1.0034117021276594,0.001019410776619658,0.000293977903620786,0.002592349792482805,0.5,0.002038821553239317,0.000587955807241572,0.00518469958496561,potentially_relevant,Scenario-based screening assumption: 1% release of sorbed metal.
Cd,high,medium_release_10pct,0.1,1.0034117021276594,0.010194107766196581,0.00293977903620786,0.02592349792482805,0.5,0.020388215532393172,0.00587955807241572,0.0518469958496561,potentially_relevant,Scenario-based screening assumption: 10% release of sorbed metal.
Cd,high,high_release_25pct,0.25,1.0034117021276594,0.02548526941549145,0.00734944759051965,0.06480874481207012,0.5,0.050970538830982924,0.0146988951810393,0.12961748962414024,potentially_relevant,Scenario-based screening assumption: 25% release of sorbed metal.
Cd,high,upper_bound_full_release,1.0,1.0034117021276594,0.1019410776619658,0.0293977903620786,0.2592349792482805,0.5,0.2038821553239317,0.0587955807241572,0.518469958496561,potentially_relevant,Upper-bound screening assumption: 100% release of sorbed metal.
Cd,extreme,low_release_1pct,0.01,1.0034117021276594,0.009991082435990289,0.002828148721082563,0.025643817901005624,0.5,0.01998216487198057,0.005656297442165127,0.05128763580201125,dominant,Scenario-based screening assumption: 1% release of sorbed metal.
Cd,extreme,medium_release_10pct,0.1,1.0034117021276594,0.0999108243599029,0.02828148721082563,0.2564381790100562,0.5,0.19982164871980573,0.05656297442165127,0.5128763580201124,dominant,Scenario-based screening assumption: 10% release of sorbed metal.
Cd,extreme,high_release_25pct,0.25,1.0034117021276594,0.2497770608997572,0.07070371802706407,0.6410954475251406,0.5,0.4995541217995143,0.14140743605412817,1.2821908950502812,dominant,Scenario-based screening assumption: 25% release of sorbed metal.
Cd,extreme,upper_bound_full_release,1.0,1.0034117021276594,0.9991082435990288,0.2828148721082563,2.5643817901005623,0.5,1.9982164871980572,0.5656297442165127,5.128763580201125,dominant,Upper-bound screening assumption: 100% release of sorbed metal.
Cr,pristine,low_release_1pct,0.01,1.3354028571428571,1.336628702793e-06,3.785891936701327e-07,3.402241983943e-06,5.0,2.673257405587057e-07,7.571783873402653e-08,6.804483967886501e-07,likely_minor,Scenario-based screening assumption: 1% release of sorbed metal.
Cr,pristine,medium_release_10pct,0.1,1.3354028571428571,1.3366287027930002e-05,3.7858919367013268e-06,3.402241983943e-05,5.0,2.673257405587057e-06,7.571783873402653e-07,6.804483967886502e-06,likely_minor,Scenario-based screening assumption: 10% release of sorbed metal.
Cr,pristine,high_release_25pct,0.25,1.3354028571428571,3.3415717569825e-05,9.464729841753317e-06,8.5056049598575e-05,5.0,6.683143513967642e-06,1.8929459683506632e-06,1.7011209919716254e-05,likely_minor,Scenario-based screening assumption: 25% release of sorbed metal.
Cr,pristine,upper_bound_full_release,1.0,1.3354028571428571,0.0001336628702793,3.785891936701327e-05,0.0003402241983943,5.0,2.673257405587057e-05,7.571783873402653e-06,6.804483967886501e-05,likely_minor,Upper-bound screening assumption: 100% release of sorbed metal.
Cr,low,low_release_1pct,0.01,1.3354028571428571,1.3368301857971e-05,3.942983341143e-06,3.4102425263123e-05,5.0,2.6736603715940003e-06,7.885966682287093e-07,6.8204850526240004e-06,likely_minor,Scenario-based screening assumption: 1% release of sorbed metal.
