metal,scenario,c_mp_mg_L,qm_mean_mg_g,emvp_mean_ug_L,emvp_median_ug_L,emvp_ci_95_lower,emvp_ci_95_upper,background_ug_L,ratio_mean,ratio_median,ratio_ci95_lower,ratio_ci95_upper,interpretation
As,pristine,0.0001,8.48325,0.0008543035801889844,0.0007314347774114356,0.00024997198732942734,0.0022008602685995057,5.0,0.00017086071603779687,0.00014628695548228712,4.999439746588547e-05,0.00044017205371990115,likely_minor
As,low,0.001,8.48325,0.008509862276699667,0.00724847796646167,0.0024519006925521614,0.021655191803305607,5.0,0.0017019724553399332,0.001449695593292334,0.0004903801385104323,0.004331038360661121,likely_minor
As,moderate,0.01,8.48325,0.08411794638031454,0.07161904259295385,0.024417010212356555,0.21404811555726283,5.0,0.01682358927606291,0.01432380851859077,0.004883402042471311,0.04280962311145257,likely_minor
As,high,0.1,8.48325,0.8441598536418238,0.7198792474659078,0.24502771509130272,2.1799102182974024,5.0,0.16883197072836476,0.14397584949318157,0.049005543018260544,0.43598204365948046,potentially_relevant
As,extreme,1.0,8.48325,8.40219150369689,7.15519875097964,2.3915059298909704,21.620914881521742,5.0,1.6804383007393782,1.431039750195928,0.4783011859781941,4.324182976304348,dominant
Cd,pristine,0.0001,1.0034117021276594,0.00010045903728988432,8.589390451502706e-05,2.897619279545338e-05,0.00025813069106069193,0.5,0.00020091807457976865,0.00017178780903005412,5.795238559090676e-05,0.0005162613821213839,likely_minor
Cd,low,0.001,1.0034117021276594,0.0010087944146213606,0.0008622397925940768,0.0002832497257445255,0.002586090946921026,0.5,0.002017588829242721,0.0017244795851881537,0.000566499451489051,0.005172181893842052,likely_minor
Cd,moderate,0.01,1.0034117021276594,0.010026815820211437,0.00861389848241096,0.0028997642930508926,0.025637192987920072,0.5,0.020053631640422873,0.01722779696482192,0.005799528586101785,0.051274385975840144,likely_minor
Cd,high,0.1,1.0034117021276594,0.10194107766196588,0.08678532380884627,0.029397790362078603,0.2592349792482805,0.5,0.20388215532393175,0.17357064761769253,0.058795580724157206,0.518469958496561,potentially_relevant
Cd,extreme,1.0,1.0034117021276594,0.9991082435990287,0.8610658839727473,0.28281487210825634,2.5643817901005623,0.5,1.9982164871980574,1.7221317679454946,0.5656297442165127,5.128763580201125,dominant
