iteration,cache_status,auto_retry_triggered,convergence_pass,pooled_mean,beta_metal[Cd (II)_vs_As (III)],beta_metal[Cr (VI)_vs_As (III)],beta_metal[Cu (II)_vs_As (III)],beta_metal[Hg (II)_vs_As (III)],beta_metal[Ni (II)_vs_As (III)],beta_metal[Pb (II)_vs_As (III)],beta_metal[Zn (II)_vs_As (III)],beta_polymer[PBAT_vs_PA],beta_polymer[PBS_vs_PA],beta_polymer[PBT_vs_PA],beta_polymer[PE_vs_PA],beta_polymer[PET_vs_PA],beta_polymer[PLA_vs_PA],beta_polymer[PP_vs_PA],beta_polymer[PS_vs_PA],beta_polymer[PVC_vs_PA],beta_polymer[nylon_vs_PA],beta_aging[Virgin_vs_Aged],beta_Temp,sigma_study,sigma_residual,beta_metal[Mn (II)_vs_As (III)],beta_polymer[PMMA_vs_PA],beta_polymer[TPU_vs_PA],beta_polymer[Mix_vs_HDPE],beta_polymer[PA_vs_HDPE],beta_polymer[PBAT_vs_HDPE],beta_polymer[PBS_vs_HDPE],beta_polymer[PBT_vs_HDPE],beta_polymer[PE_vs_HDPE],beta_polymer[PET_vs_HDPE],beta_polymer[PLA_vs_HDPE],beta_polymer[PMMA_vs_HDPE],beta_polymer[PP_vs_HDPE],beta_polymer[PS_vs_HDPE],beta_polymer[PVC_vs_HDPE],beta_polymer[nylon_vs_HDPE],beta_polymer[TPU_vs_HDPE],beta_polymer[PA_vs_Mix],beta_polymer[PBAT_vs_Mix],beta_polymer[PBS_vs_Mix],beta_polymer[PBT_vs_Mix],beta_polymer[PE_vs_Mix],beta_polymer[PET_vs_Mix],beta_polymer[PLA_vs_Mix],beta_polymer[PMMA_vs_Mix],beta_polymer[PP_vs_Mix],beta_polymer[PS_vs_Mix],beta_polymer[PVC_vs_Mix],beta_polymer[nylon_vs_Mix],beta_metal[Cr (VI)_vs_Cd (II)],beta_metal[Cu (II)_vs_Cd (II)],beta_metal[Hg (II)_vs_Cd (II)],beta_metal[Mn (II)_vs_Cd (II)],beta_metal[Ni (II)_vs_Cd (II)],beta_metal[Pb (II)_vs_Cd (II)],beta_metal[Zn (II)_vs_Cd (II)],beta_polymer[TPU_vs_Mix]
0,hit,False,True,5.19337508730121,-0.16104316336363536,-0.9778830449494769,-0.4366032345770433,-3.465805147117904,-1.5772421285251055,-0.06735363950406026,-1.0818019816896103,-1.4445176757649671,-1.0624810262155815,0.6244979375115823,-1.582401512260536,-1.154578775393035,0.4097519432560423,-1.2661868187578635,-1.3042788626873272,-0.904999483741249,-0.5840024423558421,-0.7463613138592982,0.07303948668420578,1.7720972446450427,0.5749235545266932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,hit,False,True,6.235574086541024,0.476387527071833,-0.3899541124582397,-0.11751017471648038,-2.5809911960616554,,1.0124588123591656,-0.5099975171311144,-0.5164894499946492,-1.581073831255504,0.2507824327087526,-1.6121097074520452,-1.7390524905063383,-0.011255976737943494,-1.5384849405424206,-1.3005673336622643,-1.303886018247631,-1.3851014624910791,-0.42580859821414757,0.0793866356922172,1.9431305932475678,0.653358362151278,0.03689554134552665,-0.5364861179818206,-0.52375621496526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,hit,False,True,5.8532754313511175,-0.052329628123070154,-0.7686066795774974,0.003508204318884212,-3.498203553216756,-0.15563927550827247,0.3799614129201042,-0.047575012609526575,,,,,,,,,,,-0.9293919147228205,0.08191594711525489,1.59485512406143,0.5483485381494915,,,,1.8721905593672938,1.742706927848473,-0.5601270272294352,1.0159698201714247,1.6698599659339144,-0.03641992259433826,0.21664963503297627,2.0030610993992224,1.0092896201986017,0.4250976945904786,0.20676556163563442,0.6899001890360072,-0.12866928772141176,,,,,,,,,,,,,,,,,,,,,
3,hit,False,True,5.491570965914766,0.159924566972561,-0.25778462554987275,0.2765722517301909,-2.4652589398999893,0.24512302802347863,0.72472017513248,0.25984037217538547,,,,,,,,,,,-0.41648075081931546,0.10489772153436915,1.923473042481227,0.589518448136699,0.545331480150163,,,,0.7399392727866059,0.4802429079800323,-0.035118873345793056,1.7571011169408997,-0.4804997109887383,-0.24919641163545672,0.8641229124386024,,-0.2899165580745739,-0.19124917659360857,0.20909817019871943,0.06783172029637509,0.3027745987346266,,,,,,,,,,,,,,,,,,,,
4,hit,False,True,5.673619432038601,-0.22703863400291546,-0.448727092383944,0.23803392086796749,-3.197526191620626,-0.9082237719232571,1.1784097503513895,-0.4268975361766219,,,,,,,,,,,-0.8247448784158372,0.08292748563558722,1.7561657116063216,0.5668275870488338,,,,,,,,,,,,,,,,,,0.26980660426582337,-1.2640980803111015,-1.364067206302751,1.0513874354145882,-1.0569236873516432,-0.8865208032971991,0.0552757889544049,-0.19357223820195085,-1.0587388092770207,-0.8875541910705139,-0.7125299565345933,-0.8892479877917,,,,,,,,
5,hit,False,True,5.613292745091788,-0.1406773050265192,-0.49469100607706534,-0.0455606985025928,-3.05031312325452,-0.3939221968516956,0.2723930438035513,-0.29018838062674296,,,,,,,,,,,-0.8026094355035789,0.12431655041149683,1.5354936871335345,0.5388100796406958,-0.26063698080233205,,,,1.5321702059537092,1.550351510637686,0.5396937099245056,1.8539292537752572,-0.15601114627440418,0.0695974727479704,0.5428181078612131,,0.38982737860230693,0.16387854652710845,0.7074441200279434,,0.23870790785128176,,,,,,,,,,,,,,,,,,,,
6,hit,False,True,5.818420041452533,0.25943219303413523,1.2004020673049782,0.22441704648154379,-3.4344431344204094,0.3776367369108076,0.673237786201705,0.2914941097160449,,,,,,,,,,,-0.7458712822046248,0.06721627796232607,1.3291024978183623,0.5390167606658651,0.10564750829112551,,,1.488900175948664,0.9612610232850026,0.15272273088614688,1.3591833850555637,1.489838671879704,-0.3153101506499383,-0.16539312151734697,1.5549685673367744,,-0.3091094168397372,-0.28190681061116213,0.47494128014525466,,-0.09974121076468717,,,,,,,,,,,,,,,,,,,,
7,hit,False,True,5.841795532796876,-0.08982713149477957,-0.31092656525254375,-0.15879440567399639,-3.3407159474948007,-0.057318731532807976,0.10443111502018501,-0.1823569281869186,,,,,,,,,,,-0.5559217040604425,0.05785777645293284,1.6317772039391985,0.5704579032708413,0.0032859910288679734,,,1.9624837100985286,1.566562780439214,0.4687554014520588,0.5021219326733481,1.4567456440374429,-0.0942442482792442,-0.5000239716558321,1.2216406911186852,0.7390596982030113,-0.1259773005650199,0.08454905519250777,-0.19790252608307074,0.11663976100935679,0.32748207095320475,,,,,,,,,,,,,,,,,,,,
8,hit,False,True,5.57495538637914,0.3765785251342825,-0.4942938932649305,0.0933048720908703,-2.4476853040385183,,0.47250491597597205,-0.3799602037682854,,,,,,,,,,,-0.5204554299480451,0.09116663551337009,1.5616616421540632,0.5710323492554519,0.547294113812006,,,1.6411155273761575,0.6226299022990913,0.18274736874715086,0.5059070236111349,1.6901388475125276,-0.37584648855899566,-0.06124497153683483,1.2321179749579472,,-0.3938456572398501,-0.49703679987645333,-0.31596109261498173,0.11003249103807082,0.2997602633669757,,,,,,,,,,,,,,,,,,,,
9,hit,False,True,5.600522914254453,,,,,,,,,,,,,,,,,,-0.6711668529446251,0.039674938853805956,1.3815851424052317,0.4925762136563896,,,,1.8645097492461027,0.9818565627656377,-0.6557584564193597,-0.8169834489999152,1.5735312593396389,-0.023174084811668383,0.090277635750951,1.3036773693536017,,0.02538014609529725,0.02538796492638111,0.5296416691384527,,0.1964533166172211,,,,,,,,,,,,,0.2563769874567828,0.04866151759780447,-3.860205213718205,0.08307069968176338,0.15308576614679317,0.3985138786037632,0.07670264867682322,
